representation,mode,condition,geometry_mae_mean,weight_mae_mean,alpha_mae_mean,fit_rmse_mean,euclidean_baseline_fit_rmse_mean,fit_improvement_factor_mean
radial,canonical,full_clean,0.07821524135748303,0.09340109103132425,0.020187273712003767,0.010389518998123725,0.11342241252614474,14.133434200143947
radial,canonical,full_noisy,0.04691729699953444,0.11076200949810396,0.02087417019122778,0.010757672692201967,0.10057071370722952,12.062111685382629
radial,canonical,partial_arc_noisy,0.07450153951306768,0.12589294660706618,0.031500504106198965,0.01566944479760556,0.09493655538881704,9.34037553541089
radial,canonical,sparse_full_noisy,0.07848480054451111,0.12892990513189545,0.0234974281292042,0.013839624317225394,0.10977389500456607,13.020414375081518
radial,canonical,sparse_partial_high_noise,0.08003484915672703,0.16048803032484898,0.07291984991239832,0.033803278083783084,0.10735226205040801,4.249836070047995
radial,pose_free,full_clean,0.07901371831943461,0.15996068115401146,0.20344940930152636,0.008509285168295714,0.11178909863775051,15.862278629601287
radial,pose_free,full_noisy,0.060863806745524454,0.13511669425006204,0.24349506439374197,0.009127931634128669,0.09885924744774205,13.718290545891374
radial,pose_free,partial_arc_noisy,0.07883885577121351,0.15328466520036452,0.17476127745669337,0.016915519836364946,0.09930052939266062,13.509481855619986
radial,pose_free,sparse_full_noisy,0.06366397570665588,0.15822805846167004,0.16502851448385097,0.0147947481468377,0.10826456586893407,9.022162187210235
radial,pose_free,sparse_partial_high_noise,0.07949423346194544,0.1537247990650443,0.1307463004001394,0.038175904710046595,0.11048113093962594,4.689573161600914
support,canonical,full_clean,0.08041532674475069,0.1071206351990496,0.018690082677688402,0.009955437346387989,0.10972117791017078,14.478577048603535
support,canonical,full_noisy,0.04641859658446266,0.10773452115391872,0.02307977603246103,0.010564214583517948,0.09772795113391755,12.233962080955624
support,canonical,partial_arc_noisy,0.0679470023925737,0.1345003169206172,0.03427801488201766,0.014917206197370326,0.09283045368764556,10.136188112636393
support,canonical,sparse_full_noisy,0.08075133862516506,0.13247085108746243,0.02620829191079375,0.014196115261507599,0.10717155085987047,13.012972294274629
support,canonical,sparse_partial_high_noise,0.0914173899595795,0.19113746673209572,0.062499027811196886,0.026668721849675198,0.10597878339164621,5.502330366963088
support,pose_free,full_clean,0.0748773314524683,0.16031436462918291,0.20481912780835163,0.007960761707003286,0.10809708846818859,16.361941648684855
support,pose_free,full_noisy,0.06305547181125508,0.1291396794613458,0.2442076072638714,0.00873352034126868,0.09599440599167992,14.256791022130383
support,pose_free,partial_arc_noisy,0.06821952034020613,0.14676389019833813,0.19045975594574205,0.011688918354895734,0.09731053399994175,16.759986811457413
support,pose_free,sparse_full_noisy,0.06339261880961747,0.16852391777137954,0.24608606686164625,0.013384569151153594,0.10472118210352936,9.763628533732248
support,pose_free,sparse_partial_high_noise,0.07458108312609978,0.16979338029205018,0.24864975752445967,0.03639887902074995,0.10866161308250574,3.931653736225667
