mode,condition,support_over_radial_geometry_mae,support_over_radial_weight_mae,support_over_radial_alpha_mae,support_over_radial_fit_improvement
canonical,full_clean,1.0281286019078066,1.1468884786701707,0.9258349068985425,1.024420310277885
canonical,full_noisy,0.9893706490577083,0.9726667260922433,1.1056619650519157,1.0142471235597372
canonical,partial_arc_noisy,0.9120214540084195,1.068370552485487,1.0881735341902707,1.085201347013131
canonical,sparse_full_noisy,1.0288786881654688,1.0274641166604799,1.1153685316828486,0.9994284298031918
canonical,sparse_partial_high_noise,1.1422198070313445,1.190976463136897,0.8570921071049872,1.2947159081599464
pose_free,full_clean,0.947649763168418,1.0022110650731157,1.006732477186971,1.0315000783147967
pose_free,full_noisy,1.0360093326875546,0.9557640540135292,1.0029263134014792,1.0392541967556073
pose_free,partial_arc_noisy,0.8653032780964736,0.9574597041817404,1.0898281285048332,1.240609150711817
pose_free,sparse_full_noisy,0.9957376696314295,1.0650697443285864,1.4911730111084969,1.0821827773804722
pose_free,sparse_partial_high_noise,0.9381948838062873,1.1045282304789803,1.901772797880211,0.8383820021017626
