family,rho,t,h,S,d12_over_S,d13_over_S,d23_over_S,interior_sum_over_S,max_equation_residual,rms_equation_residual
balanced,0.1,0.0,1.0,0.75,0.20000000000000004,0.14142135623730953,0.14142135623730953,0.27320508075688776,4.440892098500626e-16,1.4249063638766698e-16
balanced,0.1,0.0,1.0,1.0,0.2,0.14142135623730953,0.14142135623730953,0.27320508075688776,4.440892098500626e-16,2.1626404864970925e-16
balanced,0.1,0.0,1.0,1.5,0.20000000000000004,0.14142135623730953,0.14142135623730953,0.27320508075688776,6.661338147750939e-16,2.716960707227882e-16
balanced,0.1,0.0,1.0,2.5,0.2,0.1414213562373095,0.1414213562373095,0.2732050807568877,8.881784197001252e-16,4.114321360548729e-16
balanced,0.1,0.0,1.0,4.0,0.2,0.14142135623730953,0.14142135623730953,0.27320508075688776,1.7763568394002505e-15,9.122163619413726e-16
offset,0.14,0.25,1.15,0.75,0.28,0.2377940285204824,0.19221342304844372,0.4050022844444275,3.3306690738754696e-16,1.336885555457667e-16
offset,0.14,0.25,1.15,1.0,0.28,0.23779402852048243,0.19221342304844374,0.4050022844444276,4.440892098500626e-16,2.1056872313834984e-16
offset,0.14,0.25,1.15,1.5,0.28,0.2377940285204824,0.19221342304844372,0.4050022844444275,6.661338147750939e-16,2.6350748426115177e-16
offset,0.14,0.25,1.15,2.5,0.28,0.23779402852048243,0.19221342304844374,0.40500228444442754,1.3322676295501878e-15,4.532466518368395e-16
offset,0.14,0.25,1.15,4.0,0.28,0.23779402852048243,0.19221342304844374,0.4050022844444276,1.7763568394002505e-15,8.168505671170456e-16
skewed,0.16,-0.55,0.85,0.75,0.32,0.15388307249337077,0.28284271247461906,0.4223965567395141,3.3306690738754696e-16,1.3534302232949819e-16
skewed,0.16,-0.55,0.85,1.0,0.32,0.15388307249337077,0.282842712474619,0.4223965567395141,4.440892098500626e-16,2.205748631180408e-16
skewed,0.16,-0.55,0.85,1.5,0.32,0.15388307249337077,0.28284271247461906,0.42239655673951404,6.661338147750939e-16,2.709389041673412e-16
skewed,0.16,-0.55,0.85,2.5,0.32,0.15388307249337077,0.282842712474619,0.42239655673951415,8.881784197001252e-16,4.290309365903226e-16
skewed,0.16,-0.55,0.85,4.0,0.32,0.15388307249337077,0.282842712474619,0.4223965567395141,1.7763568394002505e-15,7.836493488235889e-16
tall,0.18,0.45,1.45,0.75,0.36000000000000004,0.36910973977937783,0.2791451235468748,0.578468230656768,3.3306690738754696e-16,1.2549831513118703e-16
tall,0.18,0.45,1.45,1.0,0.36,0.36910973977937783,0.2791451235468748,0.5784682306567679,4.440892098500626e-16,2.0057551350074847e-16
tall,0.18,0.45,1.45,1.5,0.36000000000000004,0.36910973977937783,0.2791451235468748,0.578468230656768,8.881784197001252e-16,2.5262826150823297e-16
tall,0.18,0.45,1.45,2.5,0.36,0.36910973977937783,0.2791451235468748,0.578468230656768,8.881784197001252e-16,4.745040042316086e-16
tall,0.18,0.45,1.45,4.0,0.36,0.36910973977937783,0.2791451235468748,0.5784682306567679,1.7763568394002505e-15,8.185254726425989e-16
