dataset,component,explained_variance_ratio,cumulative_explained_variance_ratio
equilateral_slice,1,0.995670300974838,0.995670300974838
equilateral_slice,2,0.0037447980401320064,0.99941509901497
equilateral_slice,3,0.0005658307397070955,0.9999809297546771
equilateral_slice,4,1.823892710663191e-05,0.9999991686817837
equilateral_slice,5,7.759260883582294e-07,0.9999999446078721
equilateral_slice,6,5.216106616250745e-08,0.9999999967689382
equilateral_slice,7,3.1384849269735702e-09,0.9999999999074232
equilateral_slice,8,9.036227510296539e-11,0.9999999999977854
random_family,1,0.5395766146345473,0.5395766146345473
random_family,2,0.27800737387554497,0.8175839885100923
random_family,3,0.17247854166128337,0.9900625301713757
random_family,4,0.005835555797160832,0.9958980859685366
random_family,5,0.0033627332815210757,0.9992608192500576
random_family,6,0.00029649174113558765,0.9995573109911932
random_family,7,0.00017153559251311827,0.9997288465837063
random_family,8,0.0001127140757208211,0.9998415606594271
