split,condition,alpha_strength_bin,geometry_skew_bin,count,point_output_rate,alpha_point_recoverable_rate,gate_precision,mean_best_alpha_output_abs_error_open,mean_anchored_alpha_output_abs_error_open,mean_refined_alpha_output_abs_error_open,mean_refined_alpha_bank_log_span_open,refined_beats_anchored_rate_open,refined_beats_best_rate_open
calibration,sparse_full_noisy,moderate,low_skew,6,1.0,1.0,1.0,0.10642436905002169,0.1201015933001426,0.10909873640009976,0.2010846905607444,0.5,0.3333333333333333
calibration,sparse_full_noisy,moderate,mid_skew,6,0.8333333333333334,0.16666666666666666,0.2,0.14055691340423931,0.15769588464871906,0.17045044515211716,0.22603589483324044,0.4,0.4
calibration,sparse_full_noisy,moderate,high_skew,6,0.6666666666666666,0.6666666666666666,1.0,0.1521565177335945,0.11413058435842086,0.12177614686964669,0.23335504757961367,0.75,0.25
calibration,sparse_partial_high_noise,moderate,low_skew,6,0.8333333333333334,0.16666666666666666,0.2,0.16667962134002215,0.15637765912172769,0.1403570115049477,0.13966576408048817,0.6,0.6
calibration,sparse_partial_high_noise,moderate,mid_skew,6,0.5,0.5,1.0,0.1621184625906377,0.12458299827894033,0.12095582390658322,0.1426265430702449,0.6666666666666666,1.0
calibration,sparse_partial_high_noise,moderate,high_skew,6,0.3333333333333333,0.3333333333333333,0.5,0.12092197468047072,0.16704396337732402,0.11621375381032478,0.22699346398686865,1.0,0.5
holdout,sparse_full_noisy,moderate,low_skew,3,1.0,0.6666666666666666,0.6666666666666666,0.15149848197783863,0.1361786160320735,0.11834426165995467,0.15886984747663258,0.6666666666666666,0.6666666666666666
holdout,sparse_full_noisy,moderate,mid_skew,3,0.3333333333333333,0.3333333333333333,1.0,0.06953075447763579,0.14183893489601362,0.16971523519803944,0.16686558697546874,0.0,0.0
holdout,sparse_full_noisy,moderate,high_skew,3,1.0,0.6666666666666666,0.6666666666666666,0.1178376559362393,0.12558008831891168,0.1261155747298716,0.09791256880396844,0.3333333333333333,0.3333333333333333
holdout,sparse_partial_high_noise,moderate,low_skew,3,0.6666666666666666,0.3333333333333333,0.5,0.25956975421296685,0.17478902404138857,0.19094824651445136,0.12910848440713438,0.5,1.0
holdout,sparse_partial_high_noise,moderate,mid_skew,3,1.0,0.3333333333333333,0.3333333333333333,0.21439260576671892,0.1832059345258111,0.1822002359810936,0.17093965991695903,0.3333333333333333,0.6666666666666666
holdout,sparse_partial_high_noise,moderate,high_skew,3,0.6666666666666666,0.0,0.0,0.2357032984044377,0.20564267878960835,0.23953006306515262,0.1354394812800802,0.0,0.5
confirmation,sparse_full_noisy,moderate,low_skew,3,0.6666666666666666,0.3333333333333333,0.5,0.0628034667453593,0.09341488018105859,0.08280149253891422,0.13649180457545432,1.0,0.5
confirmation,sparse_full_noisy,moderate,mid_skew,3,1.0,0.6666666666666666,0.6666666666666666,0.1347067777531404,0.14089469068137592,0.134263479897722,0.14974407773699747,0.3333333333333333,0.3333333333333333
confirmation,sparse_full_noisy,moderate,high_skew,3,1.0,0.6666666666666666,0.6666666666666666,0.14336597707427945,0.12495903699861506,0.10659850793079222,0.13545959847779945,0.6666666666666666,0.6666666666666666
confirmation,sparse_partial_high_noise,moderate,low_skew,3,0.6666666666666666,0.3333333333333333,0.5,0.16808618423998578,0.15288288558672858,0.1479951989920401,0.22882370183235878,0.5,0.5
confirmation,sparse_partial_high_noise,moderate,mid_skew,3,0.6666666666666666,0.3333333333333333,0.5,0.11358294777955613,0.1317609773311188,0.08636701569360006,0.17087795907304837,1.0,0.5
confirmation,sparse_partial_high_noise,moderate,high_skew,3,0.6666666666666666,0.3333333333333333,0.5,0.12456395757139666,0.1703600478974499,0.13532295674381672,0.22595854752028466,1.0,0.0
