split,condition,alpha_strength_bin,geometry_skew_bin,count,point_output_rate,alpha_point_recoverable_rate,gate_precision,trigger_fire_rate_open,mean_correction_pressure_open,mean_best_alpha_output_abs_error_open,mean_anchored_alpha_output_abs_error_open,mean_refined_alpha_output_abs_error_open,mean_triggered_alpha_output_abs_error_open,mean_triggered_alpha_bank_log_span_open,triggered_beats_anchored_rate_open,triggered_beats_best_rate_open
calibration,sparse_full_noisy,moderate,low_skew,6,1.0,1.0,1.0,0.6666666666666666,0.3515771101487841,0.10642436905002169,0.1201015933001426,0.10909873640009976,0.11145765021572013,0.18200502174326683,0.6666666666666666,0.3333333333333333
calibration,sparse_full_noisy,moderate,mid_skew,6,0.8333333333333334,0.16666666666666666,0.2,0.2,0.21172049549028502,0.14055691340423931,0.15769588464871906,0.17045044515211716,0.15098073073206664,0.16002283305578993,1.0,0.6
calibration,sparse_full_noisy,moderate,high_skew,6,0.6666666666666666,0.6666666666666666,1.0,0.75,0.3029677864476908,0.1521565177335945,0.11413058435842086,0.12177614686964669,0.12219085222379852,0.19959667258635702,0.75,0.25
calibration,sparse_partial_high_noise,moderate,low_skew,6,0.8333333333333334,0.16666666666666666,0.2,0.4,0.19601829087668138,0.16667962134002215,0.15637765912172769,0.1403570115049477,0.13800359351040264,0.11509808624966833,1.0,0.6
calibration,sparse_partial_high_noise,moderate,mid_skew,6,0.5,0.5,1.0,1.0,0.32151505941018094,0.1621184625906377,0.12458299827894033,0.12095582390658322,0.12095582390658322,0.1426265430702449,0.6666666666666666,1.0
calibration,sparse_partial_high_noise,moderate,high_skew,6,0.3333333333333333,0.3333333333333333,0.5,1.0,0.31147566846803354,0.12092197468047072,0.16704396337732402,0.11621375381032478,0.11621375381032478,0.22699346398686865,1.0,0.5
holdout,sparse_full_noisy,moderate,low_skew,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3116521358760922,0.15149848197783863,0.1361786160320735,0.11834426165995467,0.10175472854937244,0.1013216387767254,1.0,0.6666666666666666
holdout,sparse_full_noisy,moderate,mid_skew,3,0.3333333333333333,0.3333333333333333,1.0,0.0,0.22849359600448185,0.06953075447763579,0.14183893489601362,0.16971523519803944,0.14183893489601362,0.04978677803644005,1.0,0.0
holdout,sparse_full_noisy,moderate,high_skew,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.24583552782478102,0.1178376559362393,0.12558008831891168,0.1261155747298716,0.12003497261007061,0.07778913944319575,0.6666666666666666,0.3333333333333333
holdout,sparse_partial_high_noise,moderate,low_skew,3,0.6666666666666666,0.3333333333333333,0.5,0.5,0.17872646080006216,0.25956975421296685,0.17478902404138857,0.19094824651445136,0.19406760273039608,0.12556293000016092,0.5,1.0
holdout,sparse_partial_high_noise,moderate,mid_skew,3,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.2799735282413486,0.21439260576671892,0.1832059345258111,0.1822002359810936,0.181038408297883,0.17065320982147444,0.6666666666666666,0.6666666666666666
holdout,sparse_partial_high_noise,moderate,high_skew,3,0.6666666666666666,0.0,0.0,1.0,0.3142273934179045,0.2357032984044377,0.20564267878960835,0.23953006306515262,0.23953006306515262,0.1354394812800802,0.0,0.5
confirmation,sparse_full_noisy,moderate,low_skew,3,0.6666666666666666,0.3333333333333333,0.5,0.0,0.2053017558401199,0.0628034667453593,0.09341488018105859,0.08280149253891422,0.09341488018105859,0.07948149756331835,1.0,0.5
confirmation,sparse_full_noisy,moderate,mid_skew,3,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.270405484615748,0.1347067777531404,0.14089469068137592,0.134263479897722,0.12195160493219241,0.07489399625293222,1.0,0.6666666666666666
confirmation,sparse_full_noisy,moderate,high_skew,3,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.23913740939854197,0.14336597707427945,0.12495903699861506,0.10659850793079222,0.10409275422231219,0.07852074501734078,1.0,0.6666666666666666
confirmation,sparse_partial_high_noise,moderate,low_skew,3,0.6666666666666666,0.3333333333333333,0.5,1.0,0.5008561105468212,0.16808618423998578,0.15288288558672858,0.1479951989920401,0.1479951989920401,0.22882370183235878,0.5,0.5
confirmation,sparse_partial_high_noise,moderate,mid_skew,3,0.6666666666666666,0.3333333333333333,0.5,1.0,0.46643079530324294,0.11358294777955613,0.1317609773311188,0.08636701569360006,0.08636701569360006,0.17087795907304837,1.0,0.5
confirmation,sparse_partial_high_noise,moderate,high_skew,3,0.6666666666666666,0.3333333333333333,0.5,0.5,0.2619121051907048,0.12456395757139666,0.1703600478974499,0.13532295674381672,0.153530751576966,0.13641448650650023,1.0,0.0
