fold,holdout_row_id,holdout_condition,holdout_geometry_skew_bin,entropy_partial,ratio_partial,entropy_full,ratio_full,train_policy_alpha_mean,train_support_alpha_mean,train_joint_alpha_mean
0,0,sparse_full_noisy,low_skew,0.62,1.2000000000000002,0.76,1.1600000000000001,0.1506253453728649,0.18502440452041802,0.1953660057965659
1,1,sparse_full_noisy,low_skew,0.62,1.2000000000000002,0.76,1.1600000000000001,0.14948884908790316,0.18388790823545628,0.1971273863725974
2,2,sparse_full_noisy,mid_skew,0.62,1.2000000000000002,0.76,1.1600000000000001,0.15168219518744103,0.18608125433499415,0.19932073247213522
3,3,sparse_full_noisy,mid_skew,0.62,1.2000000000000002,0.76,1.1600000000000001,0.15142040167405274,0.18581946082160583,0.199058938958747
4,4,sparse_full_noisy,high_skew,0.62,1.2000000000000002,0.76,1.1600000000000001,0.1093101591044256,0.14370921825197872,0.15694869638911982
5,5,sparse_full_noisy,high_skew,0.62,1.2000000000000002,0.3,0.8,0.13581131059493334,0.1700684718849956,0.18344984787962756
6,6,sparse_partial_high_noise,low_skew,0.62,1.2000000000000002,0.76,1.1600000000000001,0.13473518547137053,0.16913424461892365,0.19520107484560256
7,7,sparse_partial_high_noise,low_skew,0.62,1.2000000000000002,0.76,1.1600000000000001,0.1514589745687008,0.1858580337162539,0.17085800046571414
8,8,sparse_partial_high_noise,mid_skew,0.62,1.2000000000000002,0.76,1.1600000000000001,0.14108166609687958,0.1754807252444327,0.1887202033815738
9,9,sparse_partial_high_noise,mid_skew,0.62,1.2000000000000002,0.76,1.1600000000000001,0.10847535232067877,0.1428744114682319,0.156113889605373
10,10,sparse_partial_high_noise,high_skew,0.3,0.8,0.76,1.1600000000000001,0.15016427778307032,0.15030617564056117,0.19780281506776456
11,11,sparse_partial_high_noise,high_skew,0.62,1.2000000000000002,0.76,1.1600000000000001,0.14408574856185605,0.17848480770940917,0.16239578472099236
